Date,Type / Action,Allegation / Event Summary,Service / Notice,Outcome / Disposition,Linked Exhibit / Source,Notes / Relevance
2024-11-11,Emergency PFA (EPFA) granted ex parte,Mother alleged child was 'slammed onto the floor'; emergency order issued overnight.,Not yet served as of this date (per CY‑48 intake).,Temporary protection granted pending hearing.,B-1 (CY-48 CPS 20272795),"Contact blackout prior to service was unilateral, not a violation."
2024-11-12,Temporary PFA Order / Custody clause,Court set temporary terms; includes clause for daily video calls with father pending further order.,Service date TBD (confirm docket/service page).,Temporary order in place through 2024-12-31 (per later mod petition).,"PKT-001 (Temp Order excerpt), G (Call log)",Anchors daily-call requirement later obstructed.
2024-11-23,Incident ('Camper Day') & arrest sequence,Plaintiff called ~10:45 with no child contact; police arrived seconds after; arrest booked ~10:52; no exchange occurred.,Contact initiated by Plaintiff; no child call completed.,Used to frame 'stalking'; later contradicted by GPS logs/witness.,"D (Property/APL), G (Call log), WIT-### (John statement)",Financial interference + gatekeeping; timing suggests pre‑coordination.
2024-12-01,CPS outcome on EPFA incident,Intake noted mother did not tell urgent care doctor the alleged mechanism; nurse noted no complaints.,—,CYS: Unfounded; 'did not create reasonable likelihood of bodily injury.',B-1 (CY-48 CPS 20272795),Official exoneration language to quote verbatim.
2024-12-11,ICC hearing (alleged threat),Plaintiff later alleged father told her 'I’m going to kill you' in small courtroom with deputies present.,No officer statement or charge recorded from that hearing (to date).,No contemporaneous enforcement action documented.,PKT-002 (Mod. Petition reciting allegation),Note lack of corroboration; consider security logs if available.
2024-12-13,Petition to Modify / Extend PFA,Petitioner requested extension to 2025-01-15 and communication via OurFamilyWizard; added stalking + courtroom-threat claims.,Service TBD.,Request to extend to final ICC date; app request not implemented in practice.,PKT-002 (Mod. Petition image),Shows narrative escalation; cross‑check holiday call logs.
2024-12-25,Holiday call disruption (Christmas),Morning call hang‑up; no return call despite follow-up.,Father answered; Plaintiff did not reconnect.,Missed court‑ordered daily contact.,G (Call log screenshots),Pattern of holiday interference (also Thanksgiving/New Year’s).
2025-01-15,Final ICC hearing date (per mod request),Mod petition aimed to keep PFA active through this hearing.,—,Check docket for any extension order; context marker.,PKT-002; Court notice,Anchor for any ‘extension to hearing’ order.
2025-03-03,School‑initiated GPS referral,"Child said, 'And Daddy didn’t hurt Leif.' Later said dad hurt Leif/mom; unclear timing; confusion noted.",—,Forwarded as GPS; no findings indicated in provided pages.,B-2 (CY-48 GPS 20387131),Agency text includes exculpatory language; supports confusion vs. risk.
2025-03-10,GPS routed to Chester County (primary),Re-evaluation routed case to Chester as primary jurisdiction.,—,No indicated/founded outcome in provided pages.,B-2 (CY-48 GPS 20387131),Referral churn without findings.
